Sample	low	high
X12X00211	0	1
X12X00219	0	1
X12X00258	0	1
X12X00301	0	1
X12X00372	1	0
X13X00028	1	0
X13X00098	1	0
X13X00118	0	1
X13X00145	0	1
X13X00146	1	0
X13X00147	1	0
X13X00149	1	0
X13X00150	1	0
X13X00160	1	0
X13X00166	0	1
X13X00236	1	0
X13X00237	1	0
X13X00239	1	0
X13X00245	1	0
X13X00260	1	0
X13X00262	0	1
X13X00268	1	0
X13X00294	0	1
X13X00331	1	0
X13X00353	1	0
X13X00396	1	0
X13X00406	1	0
X13X00419	0	1
X13X00420	1	0
X13X00425	1	0
X13X00450	0	1
X13X00454	1	0
X13X00487	1	0
X13X00497	1	0
X13X00500	1	0
X13X00515	1	0
X13X00535	1	0
X13X00537	1	0
X13X00544	1	0
X13X00552	1	0
X13X00581	1	0
X13X00602	1	0
X13X00615	1	0
X13X00650	1	0
X13X00655	1	0
X13X00658	1	0
X14X00023	0	1
X14X00034	1	0
X14X00041	1	0
X14X00061	1	0
X14X00083	0	1
X14X00127	0	1
X14X00141	1	0
X14X00228	0	1
X14X00231	0	1
X14X00289	0	1
X14X00335	1	0
X14X00359	1	0
X14X00434	1	0
X14X00447	1	0
X14X00448	1	0
X14X00455	1	0
X14X00504	1	0
X14X00528	0	1
X14X00537	1	0
X14X00546	1	0
X14X00559	1	0
X14X00567	0	1
X14X00578	0	1
X14X00618	0	1
X14X00620	0	1
X14X00658	0	1
X14X00670	0	1
X14X00676	0	1
X14X00711	0	1
X14X00774	0	1
X14X00781	0	1
X14X00787	1	0
X14X00798	0	1
X14X00800	0	1
X14X00815	1	0
X14X00831	0	1
X14X00832	0	1
X14X00901	1	0
X15X00043	0	1
X15X00045	0	1
X15X00051	1	0
X15X00057	0	1
X15X00075	0	1
X15X00131	0	1
X15X00137	0	1
X15X00171	1	0
X15X00176	0	1
X15X00197	0	1
X15X00237	1	0
X15X00269	1	0
X15X00275	1	0
X15X00287	1	0
X15X00296	0	1
X15X00332	1	0
X15X00383	0	1
X15X00464	0	1
X15X00471	1	0
X15X00539	0	1
X15X00571	0	1
X15X00578	1	0
X15X00593	1	0
X15X00615	0	1
X15X00616	0	1
X15X00633	0	1
X15X00649	1	0
X15X00670	1	0
X15X00692	0	1
X15X00702	0	1
X15X00723	0	1
X15X00734	0	1
X15X00742	0	1
X15X00755	0	1
X15X00766	0	1
X15X00777	0	1
X15X00849	0	1
X15X00855	1	0
X15X00872	1	0
X15X00874	0	1
X15X00880	1	0
X15X00892	0	1
X15X00900	0	1
X15X00903	1	0
X15X00936	0	1
X15X00938	0	1
X15X00942	1	0
X15X00961	1	0
X15X00967	1	0
X15X00974	1	0
X15X00990	0	1
X16X00003	1	0
X16X00010	1	0
X16X00027	1	0
X16X00031	1	0
X16X00039	0	1
X16X00041	0	1
X16X00073	1	0
X16X00077	0	1
X16X00078	0	1
X16X00094	0	1
X16X00102	1	0
X16X00109	1	0
X16X00113	0	1
X16X00118	0	1
X16X00120	1	0
X16X00128	0	1
X16X00139	1	0
X16X00217	0	1
X16X00220	1	0
X16X00271	1	0
X16X00278	1	0
X16X00292	1	0
X16X00303	0	1
X16X00306	1	0
X16X00310	0	1
X16X00315	0	1
X16X00351	0	1
X16X00459	0	1
X16X00474	1	0
X16X00481	0	1
X16X00492	0	1
X16X00494	0	1
X16X00510	0	1
X16X00525	0	1
X16X00548	0	1
X16X00619	0	1
X16X00627	0	1
X16X00701	0	1
X16X00751	0	1
X16X00771	0	1
X16X00811	0	1
X16X00815	0	1
X16X00818	1	0
X16X00831	0	1
X16X00836	0	1
X16X00844	1	0
X16X00867	1	0
X16X00883	1	0
X16X00951	1	0
X16X00981	1	0
X16X01010	0	1
X16X01017	0	1
X16X01019	0	1
X16X01022	0	1
X16X01046	0	1
X16X01061	0	1
X16X01120	1	0
X16X01127	0	1
X16X01138	0	1
X16X01151	1	0
X16X01219	1	0
X16X01220	1	0
X16X01223	1	0
X16X01227	1	0
X16X01237	0	1
X16X01259	1	0
X17X00006	0	1
X17X00021	1	0
X17X00028	1	0
X17X00033	1	0
X17X00065	1	0
X17X00077	0	1
X17X00083	0	1
X17X00215	0	1
X17X00281	1	0
X17X00332	1	0
X17X00350	1	0
X17X00436	0	1
X17X00442	0	1
